;translation table;;Note / English / adi220_normal / approved;English / adi220_normal / approved;;;Locked / English / adi220_normal / approved;#Modified / English / adi220_normal / approved;German / adi220_normal / approved;;;Locked / German / adi220_normal / approved;#Modified / German / adi220_normal / approved;Czech / adi220_normal / approved;;;Locked / Czech / adi220_normal / approved;#Modified / Czech / adi220_normal / approved;French / adi220_normal / approved;;;Locked / French / adi220_normal / approved;#Modified / French / adi220_normal / approved;Italian / adi220_normal / approved;;;Locked / Italian / adi220_normal / approved;#Modified / Italian / adi220_normal / approved;Portuguese / adi220_normal / approved;;;Locked / Portuguese / adi220_normal / approved;#Modified / Portuguese / adi220_normal / approved;Spanish / adi220_normal / approved;;;Locked / Spanish / adi220_normal / approved;#Modified / Spanish / adi220_normal / approved;Locked / adi220_normal;Layout / adi220_normal;Status / adi220_normal;Comment / adi220_normal;Function;Coordinator;#File;Comment;Status;;
gültig?;Bezeichner;;Screen-Nr.:;English;Display;Überlänge;;;German;Display;Überlänge;;;Czech;Display;Überlänge;;;French;Display;Überlänge;;;Italian;Display;Überlänge;;;Portuguese;Display;Überlänge;;;Spanish;Display;Überlänge;;;;Layout;;;;;;;;Russian;CAN-
;Bezeichner;;Screen-Nr.:;US-English;Display;Überlänge;;;German;Display;Überlänge;;;Russian;Display;Überlänge;;;CAN-French;MISSING LAYOUT !;X;;;Dutch;Display;Überlänge;;;;MISSING LAYOUT !;X;;;Mex-Spanish;MISSING LAYOUT !;X;;;;Layout;;;;;;;;;
;qtn_stp_ta_checkbox_save_pin;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_enter_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_user_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_note_diverts_inact;;SB12;Call diverts deactivated;"Call diverts
deactivated";0;Not locked;24.01.2006 11:21;Rufumleitungen deaktiviert;"Rufumleitungen
deaktiviert";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:20;Desviación de llamadas desactivada;"Desviación de
llamadas
desactivada";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_sms_write;;S401;Write;Write;0;Not locked;24.01.2006 11:21;Schreiben;Schreiben;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Escribir;Escribir;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_sms_concatenated;S406;S406;Page %0U of %1U\u0020;"Page %0U of
%1U\u0020";0;Not locked;24.01.2006 11:19;Seite %0U von %1U\u0020;"Seite %0U von
%1U\u0020";0;Not locked;24.01.2006 11:21;;EMPTY !;X;Not locked;24.01.2006 11:20;;EMPTY !;X;Not locked;24.01.2006 11:17;;EMPTY !;X;Not locked;24.01.2006 11:22;;EMPTY !;X;Not locked;24.01.2006 11:19;Pág. %0U de %1U\u0020;"Pág. %0U de
%1U\u0020";0;Not locked;24.01.2006 11:23;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
;qtn_stp_ta_sms_send;;;Send;MISSING LAYOUT !;X;Not locked;26.10.2004 16:40;Senden;MISSING LAYOUT !;X;Not locked;28.05.2004 10:33;;MISSING LAYOUT !;X;Not locked;09.02.2005 12:21;;MISSING LAYOUT !;X;Not locked;09.02.2005 12:21;;MISSING LAYOUT !;X;Not locked;09.02.2005 12:21;;MISSING LAYOUT !;X;Not locked;09.02.2005 12:21;Enviar;MISSING LAYOUT !;X;Not locked;09.02.2005 12:21;Not locked;VW_PQ35_one_row_choice_item;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_head_send_to;;S431;Send to:;Send to:;0;Not locked;24.01.2006 11:19;Senden an:;Senden an:;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Enviar a:;Enviar a:;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_sms_time;S405;S405;Send time;Send time;0;Not locked;24.01.2006 11:19;Sendezeit;Sendezeit;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Hora de envío;Hora de envío;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_serial_nbr;;SB33;Serial number:;Serial number:;0;Not locked;24.01.2006 11:20;Seriennummer:;Seriennummer:;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Número de serie;Número de serie;0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;;SC25;SC25;Service not supported!;"Service not
supported!";0;;;Service wird\nnicht unterstützt!;"Service wird
nicht unterstützt!";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Servicio no disponible;"Servicio no
disponible";0;;;;2_Zeile;;;;;;;
1;qtn_stp_ta_bt_visibility;S502;S502;Visibility;Visibility;0;Not locked;24.01.2006 11:19;Sichtbarkeit;Sichtbarkeit;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Visibilidad;Visibilidad;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_query_visibility;S553;S553;Switch on visibility?;"Switch on
visibility?";0;Not locked;24.01.2006 11:21;Sichtbarkeit\neinschalten?;"Sichtbarkeit
einschalten?";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;¿Activar visibilidad?;"¿Activar
visibilidad?";0;Not locked;09.02.2005 12:21;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_setting_signals;S601;"S601; S641";Signal settings;Signal settings;0;Not locked;24.01.2006 11:17;Signaleinstell.;Signaleinstell.;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Ajustar opciones de timbre.;"Ajustar
opciones de
timbre.";73;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_pb_sim_mobile;;S662;SIM & phone;SIM & phone;0;Not locked;24.01.2006 11:22;SIM & Mobiltel.;SIM & Mobiltel.;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;SIM y teléfono;SIM y teléfono;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;;;S621;SIM mode;SIM mode;0;;;SIM Modus;SIM Modus;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;Auswahl;;;;;;;
;;;S623, S634;SIM mode 1;SIM mode 1;0;;;SIM Modus 1;SIM Modus 1;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;Auswahl;;;;;;;
1;qtn_stp_ta_head_setting_signals;S641;S634, S630, S633;Signal settings;Signal settings;0;;;Signaleinstell.;Signaleinstell.;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Ajustar opciones de timbre.;"Ajustar opciones
de timbre.";0;;;;2_Zeile;;;;;;;
;;;S633;already connected;"already
connected";0;;;ist bereits aktiv;ist bereits aktiv;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;2_Zeile;;;;;;;
;;;S628;Activating\nSIM mode %U;"Activating
SIM mode %U";0;;;SIM Modus %U\nwird aktiviert;"SIM Modus %U
wird aktiviert";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;2_Zeile;;;;;;;
;;;S623, S634;SIM mode 2;SIM mode 2;0;;;SIM Modus 2;SIM Modus 2;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;Auswahl;;;;;;;
;;;S634, S630;SIM mode 2;SIM mode 2;0;;;SIM Modus 2;SIM Modus 2;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;1_Zeile;;;;;;;
;;;S590;Change SIM mode;"Change SIM
mode";0;;;SIM Modus\nWechsel;"SIM Modus
Wechsel";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;2_Zeile;;;;;;;
;qtn_stp_ta_pb_sim;;S662;SIM card;SIM card;0;Not locked;24.01.2006 11:22;SIM-Karte;SIM-Karte;0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Tarjeta SIM;Tarjeta SIM;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_sim_rejected;;SB63;SIM card rejected;"SIM card
rejected";0;Not locked;24.01.2006 11:22;SIM-Karte\nabgewiesen;"SIM-Karte
abgewiesen";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Tarjeta SIM rechazada;"Tarjeta SIM
rechazada";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_insert_sim;;;Insert SIM card;Insert SIM card;0;Not locked;10.05.2002 13:49;SIM-Karte einsetzen;"SIM-Karte
einsetzen";0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:40;;EMPTY !;X;Not locked;10.06.2002 14:40;Inserte la tarjeta SIM;"Inserte la tarjeta
SIM";0;Not locked;10.06.2002 14:41;Not locked;4_Zeile;Approved;§Error note;STP;Voellinger Stefanie;;Created for Seti;Proposed
;qtn_stp_ta_note_sim_blocked;;S003;SIM card\nblocked;"SIM card
blocked";0;Not locked;24.01.2006 11:20;SIM-Karte\ngesperrt;"SIM-Karte
gesperrt";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Tarjeta SIM bloqueada;"Tarjeta SIM
bloqueada";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_sim_error;;S003;SIM card\nerror;"SIM card
error";0;Not locked;24.01.2006 11:20;SIM-Kartenfehler;"SIM-
Kartenfehler";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Error en la tarjeta SIM;"Error en la
tarjeta SIM";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;§Error note;STP;Voellinger Stefanie;;Created for Seti;Proposed
1;;S669;S669;List;List;0;;;Sortierung:;Sortierung:;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Lista;Lista;0;;;;2_Zeile;;;;;;;
1;;S661;S661;List;List;0;;;Sortierung;Sortierung;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Lista;Lista;0;;;;Auswahl;;;;;;;
;;;S718;Memory full! Not all recordings were copied.;"Memory full! Not
all recordings
were copied.";0;;;Speicher voll!\nNicht alle\nAufnahmen\nkopiert.;"Speicher voll!
Nicht alle
Aufnahmen
kopiert.";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Memoria llena!########;"Memoria
llena!#######
#";0;;;;4_Zeile;;;;;;;
;qtn_stp_ta_note_sms_no_memory;;S424;Memory full. Message not saved;"Memory full.
Message not
saved";0;Not locked;24.01.2006 11:23;Speicher voll. Mitteilung nicht gespeichert;"Speicher voll.
Mitteilung nicht
gespeichert";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;16.03.2005 20:05;Memoria llena. Mensaje no memorizado;"Memoria llena.
Mensaje no
memorizado";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_note_tag_no_memory;S116;S116;Memory full. Unable to\nrecord;"Memory full.
Unable to
record";0;Not locked;24.01.2006 11:23;Speicher voll.\nKeine Aufnahme\nmöglich;"Speicher voll.
Keine Aufnahme
möglich";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;"Memoria llena
No se puede
grabar";"Memoria llena
No se puede
grabar";0;Not locked;26.08.2005 15:29;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_menu_save;S575;"S011; S531; S575; S580; S012; S304; S544; S551; S635; S631; S651; S981";Save;Save;0;Not locked;24.11.2004 15:38;Speichern;Speichern;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Guardar;Guardar;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_vcard_not_saved;;S984;Unable to save business card;"Unable to save
business card";0;Not locked;24.01.2006 11:19;Speichern der\nVisitenkarte\nfehlgeschlagen;"Speichern der
Visitenkarte
fehlgeschlagen";0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;No se ha memorizado la tarjeta de visita;"No se ha
memorizado la
tarjeta de visita";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_pb_memory;;S661;Select memory;Select memory;0;Not locked;24.01.2006 11:17;Speicherwahl;Speicherwahl;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Selec. memoria;Selec. memoria;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_head_location;;S662;Memory select.:;Memory select.:;0;Not locked;24.01.2006 11:20;Speicherwahl:;Speicherwahl:;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Selec. memoria:;Selec. memoria:;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_note_voice_not_ready;S928;S928;Voice recognition not ready;"Voice
recognition not
ready";0;Not locked;24.01.2006 11:19;Sprach-\nbedienung\nnoch nicht\nbereit;"Sprach-
bedienung
noch nicht
bereit";0;Not locked;03.02.2005 17:50;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;"Reconocimiento 
de voz no está
activo";"Reconocimiento 
de voz no está
activo";0;Not locked;16.03.2005 20:05;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_note_voice_active;S924;S924;Voice recognition active;"Voice
recognition
active";0;Not locked;24.01.2006 11:20;Sprach-\nbedienung\naktiv;"Sprach-
bedienung
aktiv";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;"Reconocimiento 
de voz activo";"Reconocimiento 
de voz activo";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;
;qtn_stp_ta_note_no_voice;;;Voice recognition not available;"Voice
recognition not
available";0;Not locked;24.01.2006 11:18;Sprach-\nbedienung nicht verfügbar;"Sprach-
bedienung nicht
verfügbar";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Sistema de manejo por voz no disponible;"Sistema de
manejo por voz
no disponible";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;
;qtn_stp_ta_supp_speechcalls;;SB06;Speech calls;Speech calls;0;Not locked;24.01.2006 11:19;Sprachanrufe;Sprachanrufe;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Llamadas;Llamadas;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed;
1;qtn_stp_ta_main_mailbox;S101;S101;Voice mailbox;Voice mailbox;0;Not locked;24.01.2006 11:18;Sprachmailbox;Sprachmailbox;0;Not locked;30.07.2002 17:13;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;06.12.2002 12:32;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;Buzón de voz;Buzón de voz;0;Not locked;06.12.2002 13:20;Not locked;Auswahl;Approved;§Choice item: for calling your voice mailbox;STP;Voellinger Stefanie;;Created for Seti;Proposed;
1;qtn_stp_ta_head_mailbox;S306;"S306; S303; S304";Voice mailbox;Voice mailbox;0;Not locked;24.01.2006 11:22;Sprachmailbox:;Sprachmailbox:;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Buzón de voz:;Buzón de voz:;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;
;qtn_stp_ta_main_status;;S101;Status;Status;0;Not locked;24.01.2006 11:18;Status;Status;0;Not locked;26.09.2005 11:25;;EMPTY !;X;Not locked;26.09.2005 11:24;;EMPTY !;X;Not locked;26.09.2005 11:24;;EMPTY !;X;Not locked;26.09.2005 11:25;;EMPTY !;X;Not locked;26.09.2005 11:24;Estado;Estado;0;Not locked;26.09.2005 11:24;Not locked;Auswahl;Approved;;STP;Hanebrink Thomas;;;Proposed;
1;;"S562; SC03";S562, T562, SC03;Search;Search;0;;;Suche;Suche;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Búsqueda;Búsqueda;0;;;;Auswahl;;;;;;;;
1;;S923;S923;Unable to refresh\nphone book;"Unable to
refresh
phone book";0;;;Aktualisierung\ndes\nTelefonbuchs\nfehlgeschlagen;"Aktualisierung
des
Telefonbuchs
fehlgeschlagen";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;"No se ha
actualizado la
lista de contactos";"No se ha
actualizado la
lista de
contactos";0;;;;4_Zeile;;;;;;;;
;qtn_stp_ta_setting_standby;;S601;Switch off ph.;Switch off ph.;0;Not locked;24.01.2006 11:21;Tel. ausschalten;Tel. ausschalten;0;Not locked;22.09.2004 17:07;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Desact. el tlf.;Desact. el tlf.;0;Not locked;16.03.2005 20:05;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed;
1;qtn_stp_ta_head_phone;;;Phone;Phone;0;Not locked;26.10.2004 16:40;Telefon;Telefon;0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;12.01.2005 11:28;;EMPTY !;X;Not locked;12.01.2005 11:28;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;Teléfono;Teléfono;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;
;qtn_stp_ta_main_menu_phone;;;Phone;MISSING LAYOUT !;X;Not locked;11.10.2002 16:14;Telefon;MISSING LAYOUT !;X;Not locked;11.10.2002 16:14;;MISSING LAYOUT !;X;Not locked;06.12.2002 12:29;;MISSING LAYOUT !;X;Not locked;06.12.2002 12:32;;MISSING LAYOUT !;X;Not locked;06.12.2002 12:35;;MISSING LAYOUT !;X;Not locked;06.12.2002 13:17;Teléfono;MISSING LAYOUT !;X;Not locked;06.12.2002 13:20;Not locked;VW_PQ35_one_row_choice_item;Approved;2002-11-28: New text. Please translate§Main menu: to go to the car's phone feature;STP;Voellinger Stefanie;;Created for Seti;Proposed;??????????????
;qtn_stp_ta_note_standby;;"S668; S701";Phone\nswitched off;"Phone
switched off";0;Not locked;24.01.2006 11:23;Telefon\nausgeschaltet;"Telefon
ausgeschaltet";0;Not locked;22.09.2004 17:07;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;16.03.2005 20:05;Teléfono apagado;"Teléfono
apagado";0;Not locked;09.02.2005 12:21;Not locked;3_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed;
;qtn_stp_ta_query_standby;;S667;Switch off phone?;"Switch off
phone?";0;Not locked;24.01.2006 11:18;Telefon\nausschalten?;"Telefon
ausschalten?";0;Not locked;22.09.2004 17:07;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;¿Apagar el teléfono?;"¿Apagar el
teléfono?";0;Not locked;09.02.2005 12:21;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed;
;qtn_stp_ta_note_activate_phone;;;Switch on;Switch on;0;Not locked;26.10.2004 16:40;Telefon einschalten;"Telefon
einschalten";0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:40;;EMPTY !;X;Not locked;10.06.2002 14:40;Active el teléfono;"Active el
teléfono";0;Not locked;10.06.2002 14:41;Not locked;4_Zeile;Approved;§Error note;STP;Voellinger Stefanie;;Created for Seti;Proposed;????????????
;qtn_stp_ta_note_enter_phone;;;Place phone into cradle;"Place phone into
cradle";0;Not locked;10.05.2002 13:49;Telefon in die Halterung einsetzen;"Telefon in die
Halterung
einsetzen";0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:40;;EMPTY !;X;Not locked;10.06.2002 14:40;Coloque el teléfono en el soporte;"Coloque el
teléfono en el
soporte";0;Not locked;10.06.2002 14:41;Not locked;4_Zeile;Approved;§Error note;STP;Voellinger Stefanie;;Created for Seti;Proposed;????????????
1;qtn_stp_ta_note_phone_initiated;;S009;Initializing\ntelephone.\nPlease wait!;"Initializing
telephone.
Please wait!";0;Not locked;24.01.2006 11:18;Telefon wird initialisiert.\nBitte warten!;"Telefon wird
initialisiert.
Bitte warten!";0;Not locked;10.08.2005 14:57;;EMPTY !;X;Not locked;01.09.2005 13:39;;EMPTY !;X;Not locked;01.09.2005 13:38;;EMPTY !;X;Not locked;01.09.2005 13:38;;EMPTY !;X;Not locked;01.09.2005 13:38;Inicializando\nteléfono.\nEspere;"Inicializando
teléfono.
Espere";0;Not locked;01.09.2005 13:39;Not locked;4_Zeile;Approved;;STP;Hanebrink Thomas;;;Proposed;
